lsh_random,10,1,100,5,1,100,True,0.226,0.243,0.243
lsh_random,10,1,100,5,5,100,True,0.321,0.266,0.266
lsh_random,10,1,100,5,10,100,True,0.486,0.321,0.321
lsh_random,10,1,100,10,1,100,True,0.193,0.15,0.15
lsh_random,10,1,100,10,5,100,True,0.246,0.131,0.129
lsh_random,10,1,100,10,10,100,True,0.299,0.232,0.232
lsh_random,10,1,100,20,1,100,True,0.128,0.096,0.096
lsh_random,10,1,100,20,5,100,True,0.161,0.092,0.093
lsh_random,10,1,100,20,10,100,True,0.148,0.109,0.107
lsh_random,10,1,100,5,1,200,True,0.26,0.238,0.238
lsh_random,10,1,100,5,5,200,True,0.298,0.35,0.35
lsh_random,10,1,100,5,10,200,True,0.511,0.406,0.406
lsh_random,10,1,100,10,1,200,True,0.157,0.125,0.125
lsh_random,10,1,100,10,5,200,True,0.216,0.18,0.18
lsh_random,10,1,100,10,10,200,True,0.359,0.244,0.242
lsh_random,10,1,100,20,1,200,True,0.116,0.114,0.115
lsh_random,10,1,100,20,5,200,True,0.169,0.112,0.112
lsh_random,10,1,100,20,10,200,True,0.181,0.127,0.13
lsh_random,10,1,100,5,1,500,True,0.304,0.256,0.258
lsh_random,10,1,100,5,5,500,True,0.27,0.301,0.301
lsh_random,10,1,100,5,10,500,True,0.378,0.358,0.356
lsh_random,10,1,100,10,1,500,True,0.124,0.125,0.125
lsh_random,10,1,100,10,5,500,True,0.228,0.23,0.23
lsh_random,10,1,100,10,10,500,True,0.33,0.24,0.244
lsh_random,10,1,100,20,1,500,True,0.102,0.096,0.094
lsh_random,10,1,100,20,5,500,True,0.137,0.121,0.122
lsh_random,10,1,100,20,10,500,True,0.19,0.127,0.128
lsh_random,10,1,100,5,1,1000,True,0.321,0.305,0.305
lsh_random,10,1,100,5,5,1000,True,0.368,0.297,0.297
lsh_random,10,1,100,5,10,1000,True,0.376,0.36,0.36
lsh_random,10,1,100,10,1,1000,True,0.174,0.175,0.174
lsh_random,10,1,100,10,5,1000,True,0.306,0.295,0.295
lsh_random,10,1,100,10,10,1000,True,0.246,0.261,0.261
lsh_random,10,1,100,20,1,1000,True,0.09,0.078,0.078
lsh_random,10,1,100,20,5,1000,True,0.15,0.126,0.126
lsh_random,10,1,100,20,10,1000,True,0.196,0.172,0.167
lsh_random,20,1,100,5,1,100,True,0.324,0.267,0.267
lsh_random,20,1,100,5,5,100,True,0.329,0.287,0.284
lsh_random,20,1,100,5,10,100,True,0.418,0.36,0.36
lsh_random,20,1,100,10,1,100,True,0.175,0.137,0.132
lsh_random,20,1,100,10,5,100,True,0.249,0.176,0.174
lsh_random,20,1,100,10,10,100,True,0.31,0.182,0.182
lsh_random,20,1,100,20,1,100,True,0.103,0.084,0.084
lsh_random,20,1,100,20,5,100,True,0.161,0.125,0.125
lsh_random,20,1,100,20,10,100,True,0.174,0.107,0.107
lsh_random,20,1,100,5,1,200,True,0.273,0.246,0.246
lsh_random,20,1,100,5,5,200,True,0.327,0.291,0.295
lsh_random,20,1,100,5,10,200,True,0.243,0.259,0.264
lsh_random,20,1,100,10,1,200,True,0.133,0.112,0.112
lsh_random,20,1,100,10,5,200,True,0.281,0.21,0.208
lsh_random,20,1,100,10,10,200,True,0.248,0.199,0.198
lsh_random,20,1,100,20,1,200,True,0.119,0.11,0.115
lsh_random,20,1,100,20,5,200,True,0.144,0.12,0.12
lsh_random,20,1,100,20,10,200,True,0.165,0.121,0.122
lsh_random,20,1,100,5,1,500,True,0.221,0.231,0.231
lsh_random,20,1,100,5,5,500,True,0.331,0.297,0.297
lsh_random,20,1,100,5,10,500,True,0.476,0.407,0.408
lsh_random,20,1,100,10,1,500,True,0.153,0.158,0.157
lsh_random,20,1,100,10,5,500,True,0.179,0.177,0.178
lsh_random,20,1,100,10,10,500,True,0.289,0.272,0.27
lsh_random,20,1,100,20,1,500,True,0.095,0.079,0.079
